algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
fn	scripts	18	persistent_vector-uniform_int	58.28430666666667	LENOVO.20HRCTO1WW	61.31446916666667	67.87046008333333	1048576	20171213-1502	2	50	0.05	2	60.962204842	100.21463516666668	3.580886388E9	1174
rmf	scripts	16	persistent_vector-uniform_int	62.500535625000005	LENOVO.20HRCTO1WW	68.05769303125	65.84153780625	1048576	20171213-1505	2	50	0.05	2	52.641551564	72.29225077187499	3.580886388E9	1091
transducer_rmf	scripts	42	persistent_vector-uniform_int	24.224424428571428	LENOVO.20HRCTO1WW	25.04213044047619	25.123092482857142	1048576	20171213-1508	2	50	0.05	2	52.766479677	26.756879476190477	3.580886388E9	1616
manual_rmf	scripts	34	persistent_vector-uniform_int	28.023658029411763	LENOVO.20HRCTO1WW	30.862307897058823	29.564368990588232	1048576	20171213-1511	2	50	0.05	2	50.266224499	32.14110320588235	3.580884206E9	1745
