algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_of_float	ufloat	32323	array_of_float-ufloat	0.030394354793800083	LENOVO.20ERCTO1WW	0.03036714506698017	0.030762696346254993	257	20210131-1433	6	50	0.05	6	49.7158559	0.03111639792098506	2.77126384766914E8	565223
manual_rmf	transduce	array_of_float	ufloat	18591	array_of_float-ufloat	0.05343476230434081	LENOVO.20ERCTO1WW	0.05391464773277392	0.053735964176214304	257	20210131-1435	6	50	0.05	6	49.9491936	0.053929213920714335	2.7672508E8	330001
transducer_rmf	transduce	array_of_float	ufloat	11113	array_of_float-ufloat	0.09004301178799605	LENOVO.20ERCTO1WW	0.09023439575272203	0.09021783514802484	257	20210131-1438	6	50	0.05	6	50.129447	0.09047315711329075	2.7672508E8	195217
rmf	transduce	array_of_float	ufloat	5828	array_of_float-ufloat	0.1696024938229238	LENOVO.20ERCTO1WW	0.17025879100892244	0.17091317570350034	257	20210131-1440	6	50	0.05	6	49.7989556	0.17204767227179135	2.7672508E8	100354
fn	transduce	array_of_float	ufloat	5870	array_of_float-ufloat	0.1698489032367973	LENOVO.20ERCTO1WW	0.17140865621805793	0.17109611107325384	257	20210131-1442	6	50	0.05	6	50.2163529	0.17282405229982967	2.7672508E8	102430
