algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	immutable_list	ufloat	4952	immutable_list-ufloat	0.19333053735864297	LENOVO.20ERCTO1WW	0.19850458824717285	0.19561680957189015	4097	20210131-1809	6	50	0.05	6	48.43717255	0.19892730230210015	4.242823174E9	85321
manual_rmf	transduce	immutable_list	ufloat	2446	immutable_list-ufloat	0.4085344987735078	LENOVO.20ERCTO1WW	0.42307648569092393	0.4198712224039248	4097	20210131-1811	6	50	0.05	6	51.3488157	0.43082628127555195	4.242823174E9	41625
transducer_rmf	transduce	immutable_list	ufloat	4480	immutable_list-ufloat	0.220772534375	LENOVO.20ERCTO1WW	0.22373382901785716	0.22617220267857144	4097	20210131-1813	6	50	0.05	6	50.6575083	0.23261894062500002	4.242823174E9	80273
rmf	transduce	immutable_list	ufloat	1579	immutable_list-ufloat	0.6276004648511716	LENOVO.20ERCTO1WW	0.6411264939835338	0.6399896922102597	4097	20210131-1816	6	50	0.05	6	50.5276898	0.6519726497783407	4.242823174E9	31396
fn	transduce	immutable_list	ufloat	1576	immutable_list-ufloat	0.6314838489847716	LENOVO.20ERCTO1WW	0.6408467931472082	0.640938956852792	4097	20210131-1818	6	50	0.05	6	50.5086395	0.6504325196700509	4.242823174E9	29331
