algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_of_boxed_float	ufloat	30252	array_of_boxed_float-ufloat	0.029278854687293406	LENOVO.20ERCTO1WW	0.030870686632288775	0.03040948208382917	257	20210131-1421	6	50	0.05	6	45.9887241	0.031189211027370094	2.757113440976527E8	527778
manual_rmf	transduce	array_of_boxed_float	ufloat	18569	array_of_boxed_float-ufloat	0.05375327998276698	LENOVO.20ERCTO1WW	0.05387651763692175	0.05400760514836556	257	20210131-1423	6	50	0.05	6	50.1445684	0.05419392972157898	2.75309665E8	269267
transducer_rmf	transduce	array_of_boxed_float	ufloat	14171	array_of_boxed_float-ufloat	0.07001547293768964	LENOVO.20ERCTO1WW	0.07060319786888716	0.07077571187636723	257	20210131-1426	6	50	0.05	6	50.13178145	0.07188133984898737	2.75309665E8	249119
rmf	transduce	array_of_boxed_float	ufloat	5759	array_of_boxed_float-ufloat	0.17302195103316548	LENOVO.20ERCTO1WW	0.17491301719048447	0.1743089397464838	257	20210131-1428	6	50	0.05	6	50.1908217	0.17524951224170865	2.75309665E8	100432
fn	transduce	array_of_boxed_float	ufloat	5757	array_of_boxed_float-ufloat	0.17416781726593714	LENOVO.20ERCTO1WW	0.1749288733715477	0.1751172040993573	257	20210131-1430	6	50	0.05	6	50.4050158	0.1765207007121765	2.75309665E8	108591
