algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	persistent_vector	ufloat	10015	persistent_vector-ufloat	0.09970482146779831	LENOVO.20ERCTO1WW	0.10009236015976036	0.10027854787818274	1025	20210131-1645	6	50	0.05	6	50.21218695	0.10065991782326511	19941.75619968027	180467
manual_rmf	transduce	persistent_vector	ufloat	9945	persistent_vector-ufloat	0.09946026877828054	LENOVO.20ERCTO1WW	0.0995862315736551	0.10027643408748116	1025	20210131-1647	6	50	0.05	6	49.86098205	0.1013234985419809	1.081571655E9	179425
transducer_rmf	transduce	persistent_vector	ufloat	11119	persistent_vector-ufloat	0.08974124165842251	LENOVO.20ERCTO1WW	0.08994518535839553	0.0899941814911413	1025	20210131-1649	6	50	0.05	6	50.0319407	0.0902165330515334	1.081571655E9	198841
rmf	transduce	persistent_vector	ufloat	5590	persistent_vector-ufloat	0.17785996565295173	LENOVO.20ERCTO1WW	0.18026849874776388	0.1792660382826476	1025	20210131-1651	6	50	0.05	6	50.101984	0.18078908908765653	1.081571655E9	97681
fn	transduce	persistent_vector	ufloat	5583	persistent_vector-ufloat	0.17854090578542003	LENOVO.20ERCTO1WW	0.1829870655561526	0.1799694227118037	1025	20210131-1654	6	50	0.05	6	50.23340695	0.18315976929965969	1.081571655E9	97552
