algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	lazy_sequence	ufloat	5672	lazy_sequence-ufloat	0.1741268286318759	LENOVO.20ERCTO1WW	0.17557527715091678	0.17512283145275037	1025	20210131-1709	6	50	0.05	6	49.6626408	0.17610095239774332	1.055114937E9	103537
manual_rmf	transduce	lazy_sequence	ufloat	4747	lazy_sequence-ufloat	0.2078206688434801	LENOVO.20ERCTO1WW	0.21436147250895302	0.21242974341689488	1025	20210131-1711	6	50	0.05	6	50.4170861	0.2194307899726143	1.055114937E9	88804
transducer_rmf	transduce	lazy_sequence	ufloat	4785	lazy_sequence-ufloat	0.21033789028213168	LENOVO.20ERCTO1WW	0.21141961442006268	0.21705144054336467	1025	20210131-1713	6	50	0.05	6	51.91852805	0.22466877847439917	1.055114937E9	85897
rmf	transduce	lazy_sequence	ufloat	2157	lazy_sequence-ufloat	0.46345830644413544	LENOVO.20ERCTO1WW	0.4680264798331015	0.46744619332406123	1025	20210131-1716	6	50	0.05	6	50.40178135	0.472925622160408	1.055114937E9	39025
fn	transduce	lazy_sequence	ufloat	2158	lazy_sequence-ufloat	0.4631177307692308	LENOVO.20ERCTO1WW	0.4652188660797034	0.46672237673772016	1025	20210131-1718	6	50	0.05	6	50.35923255	0.47048416496756257	1.055114937E9	38753
