algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	immutable_list	ufloat	289	immutable_list-ufloat	2.0792322387543254	LENOVO.20ERCTO1WW	2.082656806228374	2.091169117647059	65537	20210131-2120	6	50	0.05	6	30.21599825	2.1007992975778547	6.8832300702E10	5437
manual_rmf	transduce	immutable_list	ufloat	188	immutable_list-ufloat	5.296417718085107	LENOVO.20ERCTO1WW	5.310352292553191	5.314948132978723	65537	20210131-2122	6	50	0.05	6	49.96084295	5.327424154255319	6.8832300702E10	3757
transducer_rmf	transduce	immutable_list	ufloat	405	immutable_list-ufloat	2.4685487456790125	LENOVO.20ERCTO1WW	2.483795412345679	2.4765887160493825	65537	20210131-2125	6	50	0.05	6	50.1512407	2.4861650419753087	6.8832300702E10	7897
rmf	transduce	immutable_list	ufloat	116	immutable_list-ufloat	8.65125797413793	LENOVO.20ERCTO1WW	8.645761422413793	8.680959198275863	65537	20210131-2127	6	50	0.05	6	50.34846835	8.712976939655174	6.8832300702E10	2305
fn	transduce	immutable_list	ufloat	116	immutable_list-ufloat	8.652493318965519	LENOVO.20ERCTO1WW	8.661499353448276	8.68128880172414	65537	20210131-2129	6	50	0.05	6	50.35334255	8.71441224137931	6.8832300702E10	2341
