algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	lazy_sequence	ufloat	140	lazy_sequence-ufloat	6.881801621428572	LENOVO.20ERCTO1WW	6.9211173357142854	6.906576807142857	65537	20210131-2156	6	50	0.05	6	48.34554355	6.92406605	6.8352895971E10	3291
manual_rmf	transduce	lazy_sequence	ufloat	113	lazy_sequence-ufloat	8.897380867256638	LENOVO.20ERCTO1WW	8.966971575221239	8.940120955752214	65537	20210131-2159	6	50	0.05	6	50.5108205	8.981847327433629	6.8352895971E10	2299
transducer_rmf	transduce	lazy_sequence	ufloat	111	lazy_sequence-ufloat	8.99933464864865	LENOVO.20ERCTO1WW	9.097610774774775	9.04439036036036	65537	20210131-2201	6	50	0.05	6	50.1948023	9.073741270270272	6.8352895971E10	1906
rmf	transduce	lazy_sequence	ufloat	41	lazy_sequence-ufloat	24.4364886097561	LENOVO.20ERCTO1WW	24.64683982926829	24.653625243902443	65537	20210131-2203	6	50	0.05	6	50.53510355	24.831510195121954	6.8352895971E10	823
fn	transduce	lazy_sequence	ufloat	41	lazy_sequence-ufloat	24.389905682926834	LENOVO.20ERCTO1WW	24.55386056097561	24.87957797560976	65537	20210131-2205	6	50	0.05	6	50.98964845	26.25153665853659	6.8352895971E10	823
