algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	realized	ufloat	1895	realized-ufloat	0.5210836622691293	LENOVO.20ERCTO1WW	0.5334258258575197	0.5332909192612136	4097	20210131-1857	6	50	0.05	6	50.5280169	0.5459647704485489	4.264678731E9	36225
manual_rmf	transduce	realized	ufloat	1540	realized-ufloat	0.643650190909091	LENOVO.20ERCTO1WW	0.6530431779220779	0.657252387012987	4097	20210131-1859	6	50	0.05	6	50.6049575	0.672390125974026	4.264678731E9	29352
transducer_rmf	transduce	realized	ufloat	1514	realized-ufloat	0.6432733157199473	LENOVO.20ERCTO1WW	0.6622007926023779	0.6593870118890357	4097	20210131-1901	6	50	0.05	6	49.9149701	0.6750926023778071	4.264678731E9	27055
rmf	transduce	realized	ufloat	607	realized-ufloat	1.6421476359143328	LENOVO.20ERCTO1WW	1.6611308319604612	1.657079902800659	4097	20210131-1904	6	50	0.05	6	50.28771505	1.6856825123558485	4.264678731E9	11209
fn	transduce	realized	ufloat	605	realized-ufloat	1.6440997074380168	LENOVO.20ERCTO1WW	1.6530064842975207	1.6519414066115705	4097	20210131-1906	6	50	0.05	6	49.97026025	1.6594425256198349	4.264678731E9	10885
