algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	realized	ufloat	11310	realized-ufloat	0.08815807099911582	LENOVO.20ERCTO1WW	0.08840219566755084	0.08853263722369585	257	20210131-1545	6	50	0.05	6	50.06256905	0.08897555906277631	2.59485757E8	208011
manual_rmf	transduce	realized	ufloat	10546	realized-ufloat	0.0944090747202731	LENOVO.20ERCTO1WW	0.09481968158543523	0.09470756741892662	257	20210131-1547	6	50	0.05	6	49.9382283	0.09497422311776979	2.59485757E8	184631
transducer_rmf	transduce	realized	ufloat	10575	realized-ufloat	0.09442264709219858	LENOVO.20ERCTO1WW	0.09459417427895982	0.09470186354609929	257	20210131-1549	6	50	0.05	6	50.07192415	0.09493774260047282	2.59485757E8	189256
rmf	transduce	realized	ufloat	5765	realized-ufloat	0.17486081387684302	LENOVO.20ERCTO1WW	0.17708572281006071	0.17607419670424979	257	20210131-1552	6	50	0.05	6	50.7525768	0.17763045828274068	2.59485757E8	106250
fn	transduce	realized	ufloat	5639	realized-ufloat	0.17545353307323996	LENOVO.20ERCTO1WW	0.17592197339953894	0.17672003794999117	257	20210131-1554	6	50	0.05	6	49.8216253	0.17854094130164924	2.59485757E8	105447
