algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_list	ufloat	35997	array_list-ufloat	0.02399640797844265	LENOVO.20HRCTO1WW	0.03260983812539934	0.029367654991249274	1024	20171219-0237	2	50	0.05	2	52.83031492	0.032958114213684477	3.4637165569023824E8	780690
manual_rmf	transduce	array_list	ufloat	15980	array_list-ufloat	0.06342910062578223	LENOVO.20HRCTO1WW	0.06372951091989988	0.06390730262077599	1024	20171219-0240	2	50	0.05	2	51.06286213	0.06453328213704632	3.4587783E8	401680
transducer_rmf	transduce	array_list	ufloat	23055	array_list-ufloat	0.041637878215137716	LENOVO.20HRCTO1WW	0.04259889757102581	0.04218805806549556	1024	20171219-0243	2	50	0.05	2	48.634237534	0.04287587005855563	3.4587783E8	559197
rmf	transduce	array_list	ufloat	10487	array_list-ufloat	0.09807864603795174	LENOVO.20HRCTO1WW	0.09807897005816725	0.09912919931915705	1024	20171219-0245	2	50	0.05	2	51.974840741	0.10041901224849814	3.4587783E8	251777
fn	transduce	array_list	ufloat	9699	array_list-ufloat	0.0980273744922157	LENOVO.20HRCTO1WW	0.0986880486648108	0.09939597339725746	1024	20171219-0248	2	50	0.05	2	48.20460029	0.10124421961026911	3.4587783E8	233329
