algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	persistent_vector	ufloat	9167	persistent_vector-ufloat	0.10387217890258536	LENOVO.20HRCTO1WW	0.18414906605214357	0.12302997254063489	2048	20171219-0509	2	50	0.05	2	56.254274117	0.18456580069270206	-51180.840357512236	223627
manual_rmf	transduce	persistent_vector	ufloat	12946	persistent_vector-ufloat	0.07409145210875946	LENOVO.20HRCTO1WW	0.08255208357793913	0.07883849668623513	2048	20171219-0512	2	50	0.05	2	51.035816903	0.08145368523095937	6.87252249E8	289801
transducer_rmf	transduce	persistent_vector	ufloat	14611	persistent_vector-ufloat	0.06504221538566834	LENOVO.20HRCTO1WW	0.06830096810622134	0.06968152490452399	2048	20171219-0515	2	50	0.05	2	50.925432551	0.07188250145438368	6.87252249E8	339253
rmf	transduce	persistent_vector	ufloat	6703	persistent_vector-ufloat	0.144509798299269	LENOVO.20HRCTO1WW	0.14944017059525586	0.14973386869461439	2048	20171219-0518	2	50	0.05	2	50.184876823	0.15173795783231392	6.87252249E8	163752
fn	transduce	persistent_vector	ufloat	6822	persistent_vector-ufloat	0.14455129126355906	LENOVO.20HRCTO1WW	0.1478817137936089	0.14938041988566403	2048	20171219-0521	2	50	0.05	2	50.946990138	0.15247505719730287	6.87252249E8	157284
