algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	persistent_vector	ufloat	17243	persistent_vector-ufloat	0.05814143524908659	LENOVO.20HRCTO1WW	0.10303037896537726	0.06989146730035377	1024	20171219-0307	2	50	0.05	2	60.187081078	0.10302444470219799	22234.38828521967	313786
manual_rmf	transduce	persistent_vector	ufloat	25623	persistent_vector-ufloat	0.0426625370955782	LENOVO.20HRCTO1WW	0.044263912149240914	0.04744988914100613	1024	20171219-0310	2	50	0.05	2	60.800488749	0.05056180052296765	3.71708789E8	454989
transducer_rmf	transduce	persistent_vector	ufloat	26241	persistent_vector-ufloat	0.03651262827826683	LENOVO.20HRCTO1WW	0.0405045968141458	0.04245592524751344	1024	20171219-0313	2	50	0.05	2	55.714019418	0.04490921223467093	3.71708789E8	565801
rmf	transduce	persistent_vector	ufloat	12141	persistent_vector-ufloat	0.0788251816118936	LENOVO.20HRCTO1WW	0.07996943418993493	0.0825956237344535	1024	20171219-0316	2	50	0.05	2	50.1375495	0.08679372992340005	3.71708789E8	287575
fn	transduce	persistent_vector	ufloat	12160	persistent_vector-ufloat	0.07944417319078947	LENOVO.20HRCTO1WW	0.08297903626644737	0.08300677098684212	1024	20171219-0319	2	50	0.05	2	50.475157881	0.0870512836225329	3.71708789E8	301105
