algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	immutable_list	ufloat	14	immutable_list-ufloat	73.93171085714286	LENOVO.20HRCTO1WW	75.12643125	77.32374098999999	2097152	20171216-0149	2	50	0.05	2	54.124558989	81.6896907142857	7.32836706188E11	91
manual_rmf	transduce	immutable_list	ufloat	9	immutable_list-ufloat	108.7301198888889	LENOVO.20HRCTO1WW	112.32741844444445	113.73140740888888	2097152	20171216-0152	2	50	0.05	2	51.18253043	120.4622993388889	7.32835303003134E11	97
transducer_rmf	transduce	immutable_list	ufloat	16	immutable_list-ufloat	63.48887762500001	LENOVO.20HRCTO1WW	79.1282846875	68.3992828475	2097152	20171216-0155	2	50	0.05	2	54.723862101	78.1393326875	7.32836706188E11	181
rmf	transduce	immutable_list	ufloat	6	immutable_list-ufloat	174.30985968333334	LENOVO.20HRCTO1WW	179.81824816666668	184.37878784333333	2097152	20171216-0157	2	50	0.05	2	55.305176269	194.57119869166667	7.32836706188E11	67
fn	transduce	immutable_list	ufloat	6	immutable_list-ufloat	175.03404450000002	LENOVO.20HRCTO1WW	188.43685025	184.95935396333334	2097152	20171216-0200	2	50	0.05	2	55.481627449	197.06426250000004	7.32836706188E11	61
