algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	lazy_sequence	ufloat	22315	lazy_sequence-ufloat	0.06286113013667936	LENOVO.20HRCTO1WW	0.06727585897378445	0.06640573284606767	512	20171219-0135	2	50	0.05	2	74.099198648	0.06865414736051983	1.66363313E8	330337
manual_rmf	transduce	lazy_sequence	ufloat	18504	lazy_sequence-ufloat	0.056656167801556426	LENOVO.20HRCTO1WW	0.061073637321660185	0.06050531079009944	512	20171219-0138	2	50	0.05	2	55.975959758	0.06199057561608302	1.66363313E8	431744
transducer_rmf	transduce	lazy_sequence	ufloat	19483	lazy_sequence-ufloat	0.0573578852846071	LENOVO.20HRCTO1WW	0.06115662487809886	0.060879821253400405	512	20171219-0140	2	50	0.05	2	59.302432336	0.06264685303598008	1.66363313E8	380221
rmf	transduce	lazy_sequence	ufloat	6343	lazy_sequence-ufloat	0.1498412946555258	LENOVO.20HRCTO1WW	0.15204864843134164	0.15357067275106417	512	20171219-0143	2	50	0.05	2	48.708041443	0.15657122513794736	1.66363313E8	154231
fn	transduce	lazy_sequence	ufloat	6393	lazy_sequence-ufloat	0.14836939073987174	LENOVO.20HRCTO1WW	0.1546859913968403	0.15374161173470985	512	20171219-0146	2	50	0.05	2	49.141929036	0.15667009842014704	1.66363313E8	160211
