algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	lazy_sequence	ufloat	109	lazy_sequence-ufloat	9.056485623853211	LENOVO.20HRCTO1WW	10.65121304587156	10.999489164587157	131072	20171215-1802	2	50	0.05	2	59.99237653	13.413393705504589	4.5756587873E10	1279
manual_rmf	transduce	lazy_sequence	ufloat	97	lazy_sequence-ufloat	10.026268360824742	LENOVO.20HRCTO1WW	10.152724917525774	11.669276252371134	131072	20171215-1804	2	50	0.05	2	56.637331551	20.003808670103094	4.575547104178885E10	1142
transducer_rmf	transduce	lazy_sequence	ufloat	92	lazy_sequence-ufloat	10.171640521739132	LENOVO.20HRCTO1WW	10.473988548913043	10.425961308478263	131072	20171215-1806	2	50	0.05	2	47.955924105	10.746643108695654	4.5756587873E10	1206
rmf	transduce	lazy_sequence	ufloat	28	lazy_sequence-ufloat	33.98177421964286	LENOVO.20HRCTO1WW	34.785705625	35.32915156714286	131072	20171215-1808	2	50	0.05	2	49.454419745	36.92841739285714	4.5756587873E10	356
fn	transduce	lazy_sequence	ufloat	28	lazy_sequence-ufloat	34.085056785714286	LENOVO.20HRCTO1WW	35.64601057142857	35.591040161428566	131072	20171215-1810	2	50	0.05	2	49.80453366	37.88639513928571	4.5756587873E10	366
