algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_list	ufloat	13	array_list-ufloat	79.81243615384616	LENOVO.20HRCTO1WW	80.920956	82.41794113384616	2097152	20171216-0136	2	50	0.05	2	53.571666649	85.94394577307692	7.31185137708E11	91
manual_rmf	transduce	array_list	ufloat	13	array_list-ufloat	84.56815661538461	LENOVO.20HRCTO1WW	86.05679892307693	88.05844959076924	2097152	20171216-0139	2	50	0.05	2	57.207062684	92.76125149615383	7.31183398468282E11	71
transducer_rmf	transduce	array_list	ufloat	16	array_list-ufloat	63.042222875	LENOVO.20HRCTO1WW	64.38178603125	65.25542693125	2097152	20171216-0142	2	50	0.05	2	52.203769131	67.040853375	7.31185137708E11	186
rmf	transduce	array_list	ufloat	7	array_list-ufloat	153.28533085714287	LENOVO.20HRCTO1WW	154.71026792857143	157.84980579142857	2097152	20171216-0145	2	50	0.05	2	55.246705179	165.23895357142857	7.31185137708E11	79
fn	transduce	array_list	ufloat	7	array_list-ufloat	151.31953614285715	LENOVO.20HRCTO1WW	161.38029114285715	158.63844204571427	2097152	20171216-0147	2	50	0.05	2	55.52018751	167.14487485714287	7.31185137708E11	71
