algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_of_boxed_float	ufloat	24035	array_of_boxed_float-ufloat	0.04760075789473685	LENOVO.20HRCTO1WW	0.05462365789473684	0.05435285731391721	4096	20171219-0609	2	50	0.05	2	65.273472248	0.058870733680049935	1.446223811879474E9	362288
manual_rmf	transduce	array_of_boxed_float	ufloat	7812	array_of_boxed_float-ufloat	0.12462388248847926	LENOVO.20HRCTO1WW	0.13037449103942653	0.12846107796979006	4096	20171219-0612	2	50	0.05	2	50.182633258	0.13421018178443422	1.444105516E9	183569
transducer_rmf	transduce	array_of_boxed_float	ufloat	4006	array_of_boxed_float-ufloat	0.23462914415876188	LENOVO.20HRCTO1WW	0.23636043397403894	0.23929303805292065	4096	20171219-0615	2	50	0.05	2	47.930456686	0.24298727991762356	1.444105516E9	95455
rmf	transduce	array_of_boxed_float	ufloat	1017	array_of_boxed_float-ufloat	0.9810632350049164	LENOVO.20HRCTO1WW	0.9842795363815142	0.998149617777778	4096	20171219-0618	2	50	0.05	2	50.739767259	1.047609560176991	1.444105516E9	24583
fn	transduce	array_of_boxed_float	ufloat	985	array_of_boxed_float-ufloat	0.9766127959390863	LENOVO.20HRCTO1WW	0.9898265746192894	0.9882291915126904	4096	20171219-0621	2	50	0.05	2	48.666789024	1.0012110245177666	1.444105516E9	24883
