algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_of_float	ufloat	87795	array_of_float-ufloat	0.011282104709835414	LENOVO.20HRCTO1WW	0.013760392032575886	0.01344196340930577	512	20171219-0016	2	50	0.05	2	59.043608015	0.01416016614841392	1.943190807997982E8	1498037
manual_rmf	transduce	array_of_float	ufloat	60424	array_of_float-ufloat	0.020978896944922547	LENOVO.20HRCTO1WW	0.02155119760360122	0.024522606760227727	512	20171219-0019	2	50	0.05	2	73.918563189	0.029382565238977892	1.94049744E8	1043281
transducer_rmf	transduce	array_of_float	ufloat	20050	array_of_float-ufloat	0.05007549236907731	LENOVO.20HRCTO1WW	0.0505118189276808	0.05031108178952619	512	20171219-0023	2	50	0.05	2	50.45703097	0.050964780690773065	1.94049744E8	445705
rmf	transduce	array_of_float	ufloat	7169	array_of_float-ufloat	0.13165032738178267	LENOVO.20HRCTO1WW	0.1376284104477612	0.13816989305342448	512	20171219-0026	2	50	0.05	2	49.522029584	0.14244879844469244	1.94049744E8	161977
fn	transduce	array_of_float	ufloat	3745	array_of_float-ufloat	0.2752775297730307	LENOVO.20HRCTO1WW	0.2857985106809079	0.28439895307343127	512	20171219-0028	2	50	0.05	2	53.252726787	0.29127824500667554	1.94049744E8	166051
