algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_of_float	ufloat	4255	array_of_float-ufloat	0.287515879905993	LENOVO.20HRCTO1WW	0.2923154186839013	0.31597518493066984	32768	20171215-1555	2	50	0.05	2	67.201836372	0.349150994653349	1.1398205717788055E10	40753
manual_rmf	transduce	array_of_float	ufloat	1339	array_of_float-ufloat	0.49728738088125474	LENOVO.20HRCTO1WW	0.8395493752800598	0.8035027305601196	32768	20171215-1558	2	50	0.05	2	53.970792851	0.8489835437266617	1.1381051070792328E10	12431
transducer_rmf	transduce	array_of_float	ufloat	875	array_of_float-ufloat	1.0845256805142858	LENOVO.20HRCTO1WW	1.1337088485714286	1.1313417133942858	32768	20171215-1600	2	50	0.05	2	49.49718092	1.1439756662285716	1.138155293E10	9133
rmf	transduce	array_of_float	ufloat	235	array_of_float-ufloat	4.3332656042553195	LENOVO.20HRCTO1WW	4.37415120212766	4.408007048765958	32768	20171215-1602	2	50	0.05	2	51.737818716	4.421193787234043	1.138155293E10	1996
fn	transduce	array_of_float	ufloat	228	array_of_float-ufloat	4.399022385964913	LENOVO.20HRCTO1WW	4.431240980263158	4.423904777719299	32768	20171215-1604	2	50	0.05	2	50.431747225	4.447256706140351	1.138155293E10	1956
