algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_of_float	ufloat	84232	array_of_float-ufloat	0.012114133915851458	LENOVO.20HRCTO1WW	0.015097884628169817	0.015033785978725426	1024	20171219-0220	2	50	0.05	2	63.355469252	0.016351336183991833	3.490642635877557E8	1489375
manual_rmf	transduce	array_of_float	ufloat	34991	array_of_float-ufloat	0.038019757251864766	LENOVO.20HRCTO1WW	0.039488269697922324	0.0394349776788317	1024	20171219-0224	2	50	0.05	2	69.006277633	0.04012076611128576	3.48545896E8	563356
transducer_rmf	transduce	array_of_float	ufloat	12940	array_of_float-ufloat	0.07238086312982998	LENOVO.20HRCTO1WW	0.07862800421174652	0.07775209369706339	1024	20171219-0227	2	50	0.05	2	50.302022521	0.08029223038253479	3.48545896E8	310759
rmf	transduce	array_of_float	ufloat	3628	array_of_float-ufloat	0.26807566620727674	LENOVO.20HRCTO1WW	0.2715327952039691	0.2724508128665932	1024	20171219-0230	2	50	0.05	2	49.422350151	0.2771724435639471	3.48545896E8	92145
fn	transduce	array_of_float	ufloat	3604	array_of_float-ufloat	0.26836484267480576	LENOVO.20HRCTO1WW	0.2707371870144284	0.2737102236071032	1024	20171219-0233	2	50	0.05	2	49.30617152	0.2795696543562708	3.48545896E8	93569
