algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_list	ufloat	220	array_list-ufloat	5.112888195454546	LENOVO.20HRCTO1WW	5.254159286363636	5.357120560909092	131072	20171215-1723	2	50	0.05	2	58.929431726	5.8551206313636355	4.5651678632E10	1405
manual_rmf	transduce	array_list	ufloat	140	array_list-ufloat	6.88700025107143	LENOVO.20HRCTO1WW	6.922526039285715	7.775693024	131072	20171215-1725	2	50	0.05	2	54.381370141	11.588729285714287	4.565086295710663E10	1461
transducer_rmf	transduce	array_list	ufloat	230	array_list-ufloat	4.27693875652174	LENOVO.20HRCTO1WW	4.40956327826087	4.3947444363478265	131072	20171215-1728	2	50	0.05	2	50.54099318	4.438734039782609	4.5651678632E10	2891
rmf	transduce	array_list	ufloat	87	array_list-ufloat	11.108479402298851	LENOVO.20HRCTO1WW	11.429280074712644	11.587056870574713	131072	20171215-1730	2	50	0.05	2	50.355201254	12.91801574367816	4.5651678632E10	1116
fn	transduce	array_list	ufloat	88	array_list-ufloat	11.089432420454546	LENOVO.20HRCTO1WW	11.541675829545454	11.342526542045455	131072	20171215-1731	2	50	0.05	2	49.884306363	11.694484164772728	4.5651678632E10	966
