algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_of_float	ufloat	1217	array_of_float-ufloat	1.065938887428102	LENOVO.20HRCTO1WW	1.0695484009860312	1.0827855672966313	131072	20171215-1712	2	50	0.05	2	65.885896673	1.114793205751849	4.600366090769008E10	11851
manual_rmf	transduce	array_of_float	ufloat	332	array_of_float-ufloat	2.883583805873494	LENOVO.20HRCTO1WW	2.9154519307228917	2.9123943884337353	131072	20171215-1715	2	50	0.05	2	48.349649152	2.9544402457831325	4.59352727129586E10	3673
transducer_rmf	transduce	array_of_float	ufloat	143	array_of_float-ufloat	6.89613576923077	LENOVO.20HRCTO1WW	6.9927661503496505	7.011737463076924	131072	20171215-1718	2	50	0.05	2	50.129139287	7.125523124125874	4.5936190346E10	1796
rmf	transduce	array_of_float	ufloat	31	array_of_float-ufloat	31.295030806451614	LENOVO.20HRCTO1WW	33.729137483870964	32.29553751225807	131072	20171215-1720	2	50	0.05	2	50.037057923	33.81285754516129	4.5936190346E10	386
fn	transduce	array_of_float	ufloat	30	array_of_float-ufloat	31.247417433333332	LENOVO.20HRCTO1WW	32.52751788333333	32.44866008933333	131072	20171215-1722	2	50	0.05	2	48.646801114	33.733458920000004	4.5936190346E10	391
