algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	realized	ufloat	1	realized-ufloat	3668.9437791	LENOVO.20HRCTO1WW	3704.551274	3804.3178161200003	33554432	20171217-0843	2	50	0.05	2	190.207699575	4014.1439742000007	1.1711050656012E13	5
manual_rmf	transduce	realized	ufloat	1	realized-ufloat	3038.1163790000005	LENOVO.20HRCTO1WW	3114.1796175	3135.7135089800004	33554432	20171217-0917	2	50	0.05	2	156.782518497	3292.3999747	1.1711050072574887E13	4
transducer_rmf	transduce	realized	ufloat	1	realized-ufloat	3148.685578	LENOVO.20HRCTO1WW	3305.87258	3362.8630737	33554432	20171217-0951	2	50	0.05	2	168.030565561	3620.0961180000004	1.1711050656012E13	4
rmf	transduce	realized	ufloat	1	realized-ufloat	9899.257707	LENOVO.20HRCTO1WW	10125.327874	10161.86645716	33554432	20171217-1033	2	50	0.05	2	508.009335713	10397.7119298	1.1711050656012E13	4
fn	transduce	realized	ufloat	1	realized-ufloat	5307.1881462500005	LENOVO.20HRCTO1WW	5582.61822	6717.0878345	33554432	20171217-1104	2	50	0.05	2	335.576731393	10217.96214505	1.1711050656012E13	4
