algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_list	ufloat	5683	array_list-ufloat	0.1538932688720746	LENOVO.20HRCTO1WW	0.1617771768432166	0.17679554471229986	8192	20171219-0845	2	50	0.05	2	50.220955113	0.207501069355974	2.8372314205653043E9	95481
manual_rmf	transduce	array_list	ufloat	2288	array_list-ufloat	0.420330868006993	LENOVO.20HRCTO1WW	0.4307801728583916	0.43437583342657343	8192	20171219-0848	2	50	0.05	2	49.678837829	0.439841770979021	2.83308686E9	56372
transducer_rmf	transduce	array_list	ufloat	3283	array_list-ufloat	0.28394964331404204	LENOVO.20HRCTO1WW	0.2866074843131282	0.3041852027170271	8192	20171219-0851	2	50	0.05	2	49.935004677	0.3152596443039902	2.83308686E9	77400
rmf	transduce	array_list	ufloat	1493	array_list-ufloat	0.6898676704621568	LENOVO.20HRCTO1WW	0.7042039638312123	0.7004489791426658	8192	20171219-0854	2	50	0.05	2	52.289046419	0.7113462511721367	2.83308686E9	33679
fn	transduce	array_list	ufloat	1479	array_list-ufloat	0.6889683698444895	LENOVO.20HRCTO1WW	0.6951875956727519	0.6986948959837729	8192	20171219-0857	2	50	0.05	2	51.667444676	0.7074856604124409	2.83308686E9	33493
