algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	array_list	ufloat	3	array_list-ufloat	309.31162	LENOVO.20HRCTO1WW	321.6617295	323.32711134000004	8388608	20171216-0345	2	50	0.05	2	48.495328648	345.89920465000006	2.927959109904E12	21
manual_rmf	transduce	array_list	ufloat	3	array_list-ufloat	342.4055923333334	LENOVO.20HRCTO1WW	374.9333183333333	416.89812692000004	8388608	20171216-0350	2	50	0.05	2	62.418890761	616.6811523833334	2.927958763581289E12	31
transducer_rmf	transduce	array_list	ufloat	4	array_list-ufloat	259.42951325	LENOVO.20HRCTO1WW	272.808720375	273.57310481	8388608	20171216-0354	2	50	0.05	2	54.703398494	286.813107	2.927959109904E12	33
rmf	transduce	array_list	ufloat	2	array_list-ufloat	619.6676990000001	LENOVO.20HRCTO1WW	662.185213	648.9548486900001	8388608	20171216-0359	2	50	0.05	2	64.893338699	679.2845845	2.927959109904E12	16
fn	transduce	array_list	ufloat	2	array_list-ufloat	616.8035580000001	LENOVO.20HRCTO1WW	636.72237425	652.14349798	8388608	20171216-0403	2	50	0.05	2	65.172380155	700.3569585	2.927959109904E12	16
