algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	transduce	persistent_vector	ufloat	5372	persistent_vector-ufloat	0.1929930249627699	LENOVO.20HRCTO1WW	0.3523897028108712	0.2261844676731199	4096	20171219-0712	2	50	0.05	2	60.645235554	0.3522325451228593	-105694.4620013244	127387
manual_rmf	transduce	persistent_vector	ufloat	7232	persistent_vector-ufloat	0.13544285564159292	LENOVO.20HRCTO1WW	0.13959788391869468	0.14022403450774337	4096	20171219-0715	2	50	0.05	2	50.718207687	0.14375197248340707	1.398550415E9	170809
transducer_rmf	transduce	persistent_vector	ufloat	8225	persistent_vector-ufloat	0.11894541276595745	LENOVO.20HRCTO1WW	0.1215205105775076	0.12241284427963527	4096	20171219-0719	2	50	0.05	2	50.332527045	0.12651320151975687	1.398550415E9	191233
rmf	transduce	persistent_vector	ufloat	3536	persistent_vector-ufloat	0.269593431561086	LENOVO.20HRCTO1WW	0.2784077860576923	0.27770368848416294	4096	20171219-0721	2	50	0.05	2	49.0986963	0.2832540234728507	1.398550415E9	94648
fn	transduce	persistent_vector	ufloat	3475	persistent_vector-ufloat	0.27003247568345323	LENOVO.20HRCTO1WW	0.27916394374100717	0.27857008755107915	4096	20171219-0724	2	50	0.05	2	48.402154952	0.2835124196834532	1.398550415E9	85945
